一级项目,维度,层级深度,当前节点,路径,apiKey,isCompute,fullName,2025半年报,2024年报,2024半年报,2023年报,2023半年报,2022年报,2022半年报,2021年报,2021半年报,2020年报,2019年报,2018年报
营业总收入,汇总,0,营业总收入,营业总收入,mainOperIncome,,,2076.08,4205.06,2267.7,4166.09,1920.64,4222.3,2023.55,2461.116906,1102.332338,1553.726714,2331.985562,2277.102148
营业总收入,产品,1,产品,产品,20,,,2076.08,4205.06,2267.7,4166.09,1920.64,4222.3,2023.55,2461.11,1102.332338,1553.73,2331.985562,2277.102148
营业总收入,产品,2,贸易,产品 / 贸易,,,,310.58,551.42,366.29,793.08,355.64,604.33,215.27,180.84,63.699608,121.31,308.668534,358.302592
营业总收入,产品,2,油气销售,产品 / 油气销售,,,,1717.45,3556.15,1851.12,3278.67,1516.86,3529.56,1766.81,2221.25,1006.251361,1396.01,1971.725904,1865.565568
营业总收入,产品,2,其他差额项目(计算),产品 / 其他差额项目(计算),,,,48.05,97.49,50.29,94.34,48.14,88.41,41.47,59.02,32.381369,36.41,51.591124,53.233988
营业总收入,地区,1,地区,地区,30,,,2076.08,4205.06,2267.7,4166.09,1920.64,4222.3,2023.55,2461.11,1102.332338,1553.73,2331.985562,2277.102148
营业总收入,地区,2,中国大陆,地区 / 中国大陆,,,,1301.21,2680.65,1407.87,2567.79,1200.33,2699.56,1376.87,1704.12,792.205016,1109.77,1503.668685,1478.61707
营业总收入,地区,2,港澳台及海外,地区 / 港澳台及海外,,,,726.82,1524.41,859.83,1598.3,720.31,1522.74,646.68,697.97,310.127322,407.55,828.316877,798.485078
营业总收入,地区,2,其他差额项目(计算),地区 / 其他差额项目(计算),,,,48.05,,,,,,,59.02,,36.41,,
营业总收入,行业,1,行业,行业,10,,,2076.08,4205.06,2267.7,4166.09,1920.64,4222.3,2023.55,2461.116906,1102.332338,1553.726714,2331.985562,2277.102148
营业总收入,行业,2,贸易,行业 / 贸易,,,,310.58,551.42,366.29,793.08,355.64,604.33,215.27,180.841221,63.699608,121.312538,308.668534,358.302592
营业总收入,行业,2,油气销售,行业 / 油气销售,,,,1717.45,3556.15,1851.12,3278.67,1516.86,3529.56,1766.81,2221.253998,1006.251361,1396.012094,1971.725904,1865.565568
营业总收入,行业,2,其他差额项目(计算),行业 / 其他差额项目(计算),,,,48.05,97.49,50.29,94.34,48.14,88.41,41.47,59.021687,32.381369,36.402082,51.591124,53.233988
营业成本,汇总,0,营业成本,营业成本,mainOperCost,,,966.02,1949.93,1049.62,2087.94,935.83,1982.23,912.38,1215.854387,557.334196,973.81353,1293.836966,1300.411773
营业成本,产品,1,产品,产品,20,,,966.02,1949.93,1049.62,2087.94,935.83,1982.23,912.38,1215.85,557.334196,973.81,1293.836966,1300.411773
营业成本,产品,2,贸易,产品 / 贸易,,,,278.07,500.35,337.62,739.5,326.26,573.83,206.19,166.41,62.512979,116.71,290.400545,335.583692
营业成本,产品,2,油气销售,产品 / 油气销售,,,,638.22,1336.74,647.4,1258.16,562.46,1319.2,661.58,990.77,467.433983,818.44,953.594514,906.941611
营业成本,产品,2,其他差额项目(计算),产品 / 其他差额项目(计算),,,,49.73,112.84,64.6,90.28,47.11,89.2,44.61,58.67,27.387234,38.66,49.841907,57.88647
营业成本,地区,1,地区,地区,30,,,,,,,,,,,,,,
营业成本,地区,2,中国大陆,地区 / 中国大陆,,,,,,,,,,,,,,,
营业成本,地区,2,港澳台及海外,地区 / 港澳台及海外,,,,,,,,,,,,,,,
营业成本,地区,2,其他差额项目(计算),地区 / 其他差额项目(计算),,,,,,,,,,,,,,,
营业成本,行业,1,行业,行业,10,,,966.02,1949.93,1049.62,2087.94,935.83,1982.23,912.38,1215.854387,557.334196,973.81353,1293.836966,1300.411773
营业成本,行业,2,贸易,行业 / 贸易,,,,278.07,500.35,337.62,739.5,326.26,573.83,206.19,166.404754,62.512979,116.713134,290.400545,335.583692
营业成本,行业,2,油气销售,行业 / 油气销售,,,,638.22,1336.74,647.4,1258.16,562.46,1319.2,661.58,990.780618,467.433983,818.442188,953.594514,906.941611
营业成本,行业,2,其他差额项目(计算),行业 / 其他差额项目(计算),,,,49.73,112.84,64.6,90.28,47.11,89.2,44.61,58.669015,27.387234,38.658208,49.841907,57.88647
毛利率,汇总,0,毛利率,毛利率,grossProfitRate,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
毛利率,产品,1,产品,产品,20,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
毛利率,产品,2,贸易,产品 / 贸易,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
毛利率,产品,2,油气销售,产品 / 油气销售,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
毛利率,产品,2,其他差额项目(计算),产品 / 其他差额项目(计算),,,,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
毛利率,地区,1,地区,地区,30,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
毛利率,地区,2,中国大陆,地区 / 中国大陆,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
毛利率,地区,2,港澳台及海外,地区 / 港澳台及海外,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
毛利率,地区,2,其他差额项目(计算),地区 / 其他差额项目(计算),,,,0.0,,,,,,,0.0,,0.0,,
毛利率,行业,1,行业,行业,10,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
毛利率,行业,2,贸易,行业 / 贸易,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
毛利率,行业,2,油气销售,行业 / 油气销售,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
毛利率,行业,2,其他差额项目(计算),行业 / 其他差额项目(计算),,,,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
毛利,汇总,0,毛利,毛利,grossProfit,,,1110.06,2255.13,1218.08,2078.15,984.81,2240.07,1111.17,1245.262519,544.998142,579.913184,1038.148596,976.690375
毛利,产品,1,产品,产品,20,,,1110.06,2255.13,1218.08,2078.15,984.81,2240.07,1111.17,1245.26,544.998142,579.92,1038.148596,976.690375
毛利,产品,2,贸易,产品 / 贸易,,,,32.51,51.07,28.67,53.58,29.38,30.5,9.08,14.43,1.186629,4.6,18.267989,22.7189
毛利,产品,2,油气销售,产品 / 油气销售,,,,1079.23,2219.41,1203.72,2020.51,954.4,2210.36,1105.23,1230.48,538.817378,577.57,1018.13139,958.623957
毛利,产品,2,其他差额项目(计算),产品 / 其他差额项目(计算),,,,-1.68,-15.35,-14.31,4.06,1.03,-0.79,-3.14,0.35,4.994135,-2.25,1.749217,-4.652482
毛利,地区,1,地区,地区,30,,,,,,,,,,,,,,
毛利,地区,2,中国大陆,地区 / 中国大陆,,,,,,,,,,,,,,,
毛利,地区,2,港澳台及海外,地区 / 港澳台及海外,,,,,,,,,,,,,,,
毛利,地区,2,其他差额项目(计算),地区 / 其他差额项目(计算),,,,,,,,,,,,,,,
毛利,行业,1,行业,行业,10,,,1110.06,2255.13,1218.08,2078.15,984.81,2240.07,1111.17,1245.262519,544.998142,579.913184,1038.148596,976.690375
毛利,行业,2,贸易,行业 / 贸易,,,,32.51,51.07,28.67,53.58,29.38,30.5,9.08,14.436467,1.186629,4.599404,18.267989,22.7189
毛利,行业,2,油气销售,行业 / 油气销售,,,,1079.23,2219.41,1203.72,2020.51,954.4,2210.36,1105.23,1230.47338,538.817378,577.569906,1018.13139,958.623957
毛利,行业,2,其他差额项目(计算),行业 / 其他差额项目(计算),,,,-1.68,-15.35,-14.31,4.06,1.03,-0.79,-3.14,0.352672,4.994135,-2.256126,1.749217,-4.652482
